agent,lap,battery_soc,lap_time,cumulative_time,final_position,won,scenario_id
Energy_Saver,41,92.85,89.77552631578948,3683.3860526315793,8,0,S0000_0
Balanced_Hybrid,41,54.90000000000017,89.7275,3678.827499999999,4,0,S0000_0
Corner_Specialist,41,53.875,89.72,3678.519999999997,3,0,S0000_0
Straight_Dominator,41,68.22499999999977,89.7675,3680.4674999999984,6,0,S0000_0
Late_Charger,41,65.80000000000007,89.55,3683.5125000000035,7,0,S0000_0
Overtake_Hunter,41,57.97499999999981,89.75000000000001,3679.7500000000005,5,0,S0000_0
Adaptive_AI,41,50.59500000000007,89.7125,3678.2125000000024,2,0,S0000_0
Electric_Blitz,42,0.0,89.96000000000001,3765.149999999999,1,1,S0000_0
Energy_Saver,42,92.27894736842104,89.77236842105263,3773.158421052632,8,0,S0000_0
Balanced_Hybrid,42,53.80000000000017,89.7275,3768.554999999999,4,0,S0000_0
